# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   67       2.377591064949e-10       3.908855190899e-14      -5.886452401235e-13       2.133939827206e-16       2.940155327289e-11       3.723377823602e-12      -8.853330133617e-15 
   68       2.409380955619e-10       4.077040472837e-14      -6.436807900919e-13       2.198241594618e-16       2.839900948728e-11       3.616188488919e-12      -8.978174988303e-15 
   69       2.441483436727e-10       4.248440195336e-14      -7.004323728253e-13       2.263496913028e-16       2.743811113897e-11       3.512633285012e-12      -9.071688850283e-15 
   70       2.473911316334e-10       4.422991500973e-14      -7.588801728577e-13       2.329708928997e-16       2.651908187267e-11       3.412843382802e-12      -9.141599834596e-15 
   71       2.506672862861e-10       4.600628233356e-14      -8.190021961856e-13       2.396881199523e-16       2.564140712518e-11       3.316886222745e-12      -9.196741004492e-15 
   72       2.539771507561e-10       4.781280954897e-14      -8.807742588331e-13       2.465017708125e-16       2.480379594259e-11       3.224761972334e-12      -9.247091641416e-15 
   73       2.573205547005e-10       4.964876964597e-14      -9.441699754155e-13       2.534122880923e-16       2.400414279752e-11       3.136399983586e-12      -9.303818514984e-15 
   74       2.606967845558e-10       5.151340315820e-14      -1.009160747704e-12       2.604201602717e-16       2.323948940630e-11       3.051655250541e-12      -9.379317152959e-15 
   75       2.641045537857e-10       5.340591834073e-14      -1.075715753189e-12       2.675259233074e-16       2.250598654616e-11       2.970304866754e-12      -9.487253111229e-15 
   76       2.675425794720e-10       5.532535369071e-14      -1.143799475243e-12       2.747300665766e-16       2.179985069369e-11       2.892110206166e-12      -9.638502536086e-15 
   77       2.710114992412e-10       5.727013617324e-14      -1.213363798921e-12       2.820327273534e-16       2.112051974161e-11       2.817024387227e-12      -9.828028004206e-15 
   78       2.745122514690e-10       5.923844238457e-14      -1.284354446316e-12       2.894339432818e-16       2.046800604535e-11       2.745016380602e-12      -1.004567328894e-14 
   79       2.780454829103e-10       6.122832646030e-14      -1.356713246247e-12       2.969337427490e-16       1.984193515765e-11       2.676006482749e-12      -1.028000962736e-14 
   80       2.816115313810e-10       6.323771743041e-14      -1.430378072413e-12       3.045321445320e-16       1.924152804541e-11       2.609864121122e-12      -1.051829290190e-14 
   81       2.852104084389e-10       6.526441657422e-14      -1.505282781541e-12       3.122291574439e-16       1.866558330653e-11       2.546405659376e-12      -1.074642082200e-14 
   82       2.888417820659e-10       6.730609477548e-14      -1.581357151546e-12       3.200247799807e-16       1.811245938669e-11       2.485392202572e-12      -1.094889010574e-14 
   83       2.925049593487e-10       6.936028987734e-14      -1.658526819677e-12       3.279189999673e-16       1.758005679620e-11       2.426527402384e-12      -1.110875366153e-14 
   84       2.961992215963e-10       7.142464061671e-14      -1.736721756781e-12       3.359118077479e-16       1.706632912137e-11       2.369527550093e-12      -1.121128601141e-14 
   85       2.999249314586e-10       7.349763878005e-14      -1.815903439713e-12       3.440032390410e-16       1.657095234768e-11       2.314350014267e-12      -1.125577152969e-14 
   86       3.036825784451e-10       7.557799746935e-14      -1.896042091084e-12       3.521933385737e-16       1.609390095716e-11       2.260998825237e-12      -1.124560102548e-14 
   87       3.074724315808e-10       7.766442692088e-14      -1.977108624079e-12       3.604821470457e-16       1.563493497430e-11       2.209454788967e-12      -1.118475647282e-14 
   88       3.112945280108e-10       7.975563583628e-14      -2.059074724075e-12       3.688697010037e-16       1.519359107013e-11       2.159674507182e-12      -1.107783051564e-14 
   89       3.151486616051e-10       8.185033271369e-14      -2.141912930256e-12       3.773560327150e-16       1.476917366639e-11       2.111589397490e-12      -1.093004597285e-14 
   90       3.190343715634e-10       8.394722717895e-14      -2.225596717229e-12       3.859411700422e-16       1.436074603963e-11       2.065104713512e-12      -1.074727534338e-14 
   91       3.229509310199e-10       8.604503131668e-14      -2.310100576643e-12       3.946251363169e-16       1.396712142536e-11       2.020098565007e-12      -1.053606031116e-14 
   92       3.268973356481e-10       8.814246100144e-14      -2.395400098806e-12       4.034079502138e-16       1.358685412213e-11       1.976420937999e-12      -1.030363125024e-14 
   93       3.308726131983e-10       9.023813430587e-14      -2.481464144495e-12       4.122897393000e-16       1.321858302267e-11       1.933931700131e-12      -1.005690988208e-14 
   94       3.348768301170e-10       9.233024635563e-14      -2.568229836338e-12       4.212711004913e-16       1.286214063143e-11       1.892623283607e-12      -9.799303296130e-15 
