# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 1.07932 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.391494061145e-02       7.504473847717e+03 
       2.404985328850e-02       7.427893493070e+03 
       2.418488737510e-02       7.351690014943e+03 
       2.432004543610e-02       7.275866622146e+03 
       2.445533009864e-02       7.200436039017e+03 
       2.459074405384e-02       7.125403597968e+03 
       2.472629005842e-02       7.050768523763e+03 
       2.486197093642e-02       6.976543276195e+03 
       2.499778958103e-02       6.902721685774e+03 
       2.513374895635e-02       6.829313497134e+03 
       2.526985209934e-02       6.756314255246e+03 
       2.540610212177e-02       6.683786006523e+03 
       2.554250221222e-02       6.611659894124e+03 
       2.567905563821e-02       6.539959216138e+03 
       2.581576574833e-02       6.468696691263e+03 
       2.595263597449e-02       6.397891028036e+03 
       2.608966983422e-02       6.327505542723e+03 
       2.622687093308e-02       6.257598703218e+03 
       2.636424296713e-02       6.188114315909e+03 
       2.650178972545e-02       6.119096916834e+03 
       2.663951509286e-02       6.050540335221e+03 
       2.677742305259e-02       5.982426356523e+03 
       2.691551768916e-02       5.914799444548e+03 
       2.705380319129e-02       5.847626045397e+03 
       2.719228385497e-02       5.780913559780e+03 
       2.733096408661e-02       5.714657258028e+03 
       2.746984840627e-02       5.648910520441e+03 
       2.760894145110e-02       5.583608662880e+03 
       2.774824797880e-02       5.518803305271e+03 
       2.788777287131e-02       5.454454544831e+03 
       2.802752113853e-02       5.390587850463e+03 
       2.816749792229e-02       5.327191332788e+03 
       2.830770850039e-02       5.264281401092e+03 
       2.844815829080e-02       5.201863465598e+03 
       2.858885285609e-02       5.139907202034e+03 
       2.872979790796e-02       5.078419171982e+03 
       2.887099931194e-02       5.017433330458e+03 
       2.901246309235e-02       4.956953743658e+03 
       2.915419543739e-02       4.896931455552e+03 
       2.929620270443e-02       4.837404370027e+03 
       2.943849142560e-02       4.778353105562e+03 
       2.958106831346e-02       4.719784006939e+03 
       2.972394026703e-02       4.661669394380e+03 
       2.986711437803e-02       4.604055137594e+03 
       3.001059793733e-02       4.546961395223e+03 
       3.015439844177e-02       4.490324847582e+03 
       3.029852360114e-02       4.434170021697e+03 
       3.044298134556e-02       4.378510301496e+03 
       3.058777983316e-02       4.323286101754e+03 
       3.073292745804e-02       4.268538794521e+03 
       3.087843285864e-02       4.214310153227e+03 
       3.102430492642e-02       4.160536465809e+03 
       3.117055281498e-02       4.107311560000e+03 
       3.131718594959e-02       4.054486051135e+03 
       3.146421403705e-02       4.002106971461e+03 
       3.161164707616e-02       3.950277643824e+03 
       3.175949536855e-02       3.898869524474e+03 
       3.190776953007e-02       3.847929795206e+03 
       3.205648050266e-02       3.797430057034e+03 
       3.220563956689e-02       3.747469703120e+03 
       3.235525835496e-02       3.697951025873e+03 
       3.250534886444e-02       3.648871704067e+03 
       3.265592347266e-02       3.600231165208e+03 
       3.280699495172e-02       3.552104377454e+03 
       3.295857648437e-02       3.504357544914e+03 
       3.311068168063e-02       3.457161910423e+03 
       3.326332459524e-02       3.410353869894e+03 
       3.341651974602e-02       3.363976035381e+03 
       3.357028213319e-02       3.318085628714e+03 
       3.372462725969e-02       3.272606264104e+03 
       3.387957115258e-02       3.227579029121e+03 
       3.403513038558e-02       3.183008739204e+03 
       3.419132210281e-02       3.138893947443e+03 
       3.434816404389e-02       3.095186626943e+03 
       3.450567457032e-02       3.051895359609e+03 
       3.466387269341e-02       3.009016163072e+03 
       3.482277810380e-02       2.966602360450e+03 
       3.498241120258e-02       2.924595086767e+03 
       3.514279313426e-02       2.883002835543e+03 
       3.530394582169e-02       2.841843608279e+03 
       3.546589200297e-02       2.801124348829e+03 
       3.562865527060e-02       2.760761261831e+03 
       3.579226011305e-02       2.720786792677e+03 
       3.595673195871e-02       2.681285930295e+03 
       3.612209722277e-02       2.642136198853e+03 
       3.628838335687e-02       2.603373137436e+03 
       3.645561890196e-02       2.565036822119e+03 
       3.662383354454e-02       2.527071917148e+03 
       3.679305817662e-02       2.489494950432e+03 
       3.696332495946e-02       2.452312315071e+03 
       3.713466739176e-02       2.415525137320e+03 
       3.730712038233e-02       2.379082243095e+03 
       3.748072032773e-02       2.343033950422e+03 
       3.765550519536e-02       2.307342959825e+03 
       3.783151461234e-02       2.272008913965e+03 
       3.800878996073e-02       2.237048669702e+03 
       3.818737447964e-02       2.202454993295e+03 
       3.836731337478e-02       2.168195578622e+03 
       3.854865393623e-02       2.134299701668e+03 
       3.873144566494e-02       2.100734451804e+03 
       3.891574040909e-02       2.067527618466e+03 
       3.910159251086e-02       2.034655802722e+03 
       3.928905896483e-02       2.002123307508e+03 
       3.947819958908e-02       1.969916377944e+03 
       3.966907721009e-02       1.938026493285e+03 
       3.986175786298e-02       1.906467604630e+03 
       4.005631100842e-02       1.875226036473e+03 
       4.025280976812e-02       1.844291617441e+03 
       4.045133118057e-02       1.813665854122e+03 
       4.065195647939e-02       1.783363756293e+03 
       4.085477139645e-02       1.753329568598e+03 
       4.105986649264e-02       1.723595836433e+03 
       4.126733751924e-02       1.694166268101e+03 
       4.147728581327e-02       1.665010222264e+03 
       4.168981873081e-02       1.636146598308e+03 
       4.190505012252e-02       1.607546474212e+03 
       4.212310085654e-02       1.579224203125e+03 
       4.234409939426e-02       1.551158082070e+03 
       4.256818242556e-02       1.523366390223e+03 
       4.279549557094e-02       1.495815319326e+03 
       4.302619415888e-02       1.468513541829e+03 
       4.326044408851e-02       1.441460975475e+03 
       4.349842278842e-02       1.414631514958e+03 
       4.374032028508e-02       1.388036428888e+03 
       4.398634039554e-02       1.361669296381e+03 
       4.423670206220e-02       1.335514515882e+03 
       4.449164084984e-02       1.309568631272e+03 
       4.475141062896e-02       1.283834059449e+03 
       4.501628547313e-02       1.258276708337e+03 
       4.528656180344e-02       1.232916356904e+03 
       4.556256081871e-02       1.207721964207e+03 
       4.584463125746e-02       1.182702205573e+03 
       4.613315254607e-02       1.157836547373e+03 
       4.642853839839e-02       1.133122466805e+03 
       4.673124094459e-02       1.108530835541e+03 
       4.704175548293e-02       1.084071719498e+03 
       4.736062596734e-02       1.059716606628e+03 
       4.768845136776e-02       1.035464908404e+03 
       4.802589306972e-02       1.011299529924e+03 
       4.837368351651e-02       9.871765419266e+02 
       4.873263634367e-02       9.631063099432e+02 
       4.910365831340e-02       9.390622975253e+02 
       4.948776342966e-02       9.150183468058e+02 
       4.988608970742e-02       8.909493659601e+02 
       5.029991918682e-02       8.668241303190e+02 
       5.073070193280e-02       8.426122842379e+02 
       5.118008495113e-02       8.182702078657e+02 
       5.164994719479e-02       7.937533433053e+02 
       5.214244214378e-02       7.690196724976e+02 
       5.266004983246e-02       7.440087753481e+02 
       5.320564068855e-02       7.186477260562e+02 
       5.378255415092e-02       6.928527297695e+02 
       5.439469575080e-02       6.665378284323e+02 
       5.504665714576e-02       6.395796733236e+02 
       5.574386438888e-02       6.118429994654e+02 
       5.649276025419e-02       5.831622281955e+02 
       5.730102618202e-02       5.533370681131e+02 
