# Matter power spectrum P(k) at redshift z=0
# for k=1.04657e-05 to 1.09063 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.453351553185e-02       1.843263313623e+04 
       3.469181925643e-02       1.835461402488e+04 
       3.485086106628e-02       1.827655104888e+04 
       3.501066252758e-02       1.819858566312e+04 
       3.517124600642e-02       1.812068815630e+04 
       3.533263470712e-02       1.804276209658e+04 
       3.549485271282e-02       1.796488118298e+04 
       3.565792502853e-02       1.788701081342e+04 
       3.582187762692e-02       1.780919726652e+04 
       3.598673749689e-02       1.773143326985e+04 
       3.615253269521e-02       1.765371046113e+04 
       3.631929240152e-02       1.757602271500e+04 
       3.648704697683e-02       1.749835147275e+04 
       3.665582802590e-02       1.742077547023e+04 
       3.682566846372e-02       1.734313690911e+04 
       3.699660258653e-02       1.726566745560e+04 
       3.716866614763e-02       1.718816588373e+04 
       3.734189643842e-02       1.711070492985e+04 
       3.751633237520e-02       1.703327974064e+04 
       3.769201459196e-02       1.695592790087e+04 
       3.786898554009e-02       1.687858514947e+04 
       3.804728959511e-02       1.680130089453e+04 
       3.822697317151e-02       1.672398907514e+04 
       3.840808484609e-02       1.664679641101e+04 
       3.859067549070e-02       1.656952682878e+04 
       3.877479841532e-02       1.649231108931e+04 
       3.896050952229e-02       1.641517853443e+04 
       3.914786747281e-02       1.633801872293e+04 
       3.933693386699e-02       1.626090047037e+04 
       3.952777343861e-02       1.618376203712e+04 
       3.972045426614e-02       1.610664731428e+04 
       3.991504800168e-02       1.602957783410e+04 
       4.011163011960e-02       1.595240834335e+04 
       4.031028018693e-02       1.587533669615e+04 
       4.051108215789e-02       1.579816397748e+04 
       4.071412469500e-02       1.572101799776e+04 
       4.091950151987e-02       1.564380687818e+04 
       4.112731179681e-02       1.556664311191e+04 
       4.133766055307e-02       1.548935530903e+04 
       4.155065913989e-02       1.541207805737e+04 
       4.176642573921e-02       1.533467861892e+04 
       4.198508592138e-02       1.525727861478e+04 
       4.220677326025e-02       1.517970033231e+04 
       4.243163001263e-02       1.510214679529e+04 
       4.265980787027e-02       1.502445320552e+04 
       4.289146879383e-02       1.494659551612e+04 
       4.312678593948e-02       1.486867720398e+04 
       4.336594469068e-02       1.479057335070e+04 
       4.360914380948e-02       1.471236055601e+04 
       4.385659672413e-02       1.463388976938e+04 
       4.410853297238e-02       1.455534849561e+04 
       4.436519982337e-02       1.447649874104e+04 
       4.462686410454e-02       1.439747649597e+04 
       4.489381426508e-02       1.431818568469e+04 
       4.516636271268e-02       1.423866051440e+04 
       4.544484846730e-02       1.415882490223e+04 
       4.572964018381e-02       1.407857411912e+04 
       4.602113960524e-02       1.399802506131e+04 
       4.631978552054e-02       1.391713130402e+04 
       4.662605831547e-02       1.383575865496e+04 
       4.694048522361e-02       1.375393511851e+04 
       4.726364640676e-02       1.367163490126e+04 
       4.759618202205e-02       1.358876386425e+04 
       4.793880046748e-02       1.350531655228e+04 
       4.829228804130e-02       1.342120139284e+04 
       4.865752030457e-02       1.333636874389e+04 
       4.903547550500e-02       1.325078309394e+04 
       4.942725050663e-02       1.316428633859e+04 
       4.983407977953e-02       1.307687860840e+04 
       5.025735814374e-02       1.298844847533e+04 
       5.069866813899e-02       1.289880370905e+04 
       5.115981311921e-02       1.280786509199e+04 
       5.164285745892e-02       1.271555648827e+04 
       5.215017562529e-02       1.262155835882e+04 
       5.268451232913e-02       1.252579510521e+04 
       5.324905653774e-02       1.242795296330e+04 
       5.384753281695e-02       1.232774906225e+04 
       5.448431425196e-02       1.222481126241e+04 
       5.516456200270e-02       1.211871173565e+04 
       5.589439718344e-02       1.200893719694e+04 
       5.668111077767e-02       1.189471689879e+04 
       5.753341578297e-02       1.177522805075e+04 
       5.846174089572e-02       1.164925760745e+04 
       5.947855335504e-02       1.151528342567e+04 
       6.059867404389e-02       1.137129796635e+04 
       6.183950118527e-02       1.121463924328e+04 
       6.322097849539e-02       1.104165524251e+04 
       6.476502493006e-02       1.084769434049e+04 
       6.649401639430e-02       1.062683015879e+04 
       6.842789527923e-02       1.037207846196e+04 
       7.057983641904e-02       1.007607389601e+04 
       7.295136933115e-02       9.732856773367e+03 
       7.552915210605e-02       9.340145359048e+03 
       7.828587126602e-02       8.901696572754e+03 
       8.118571868208e-02       8.428155200895e+03 
       8.419182742252e-02       7.935830561320e+03 
       8.727210261540e-02       7.443800178210e+03 
       9.040177662246e-02       6.970713196031e+03 
       9.356328403107e-02       6.532200800246e+03 
       9.674485736621e-02       6.139364093731e+03 
       9.993890107080e-02       5.798261462105e+03 
       1.031406269996e-01       5.510161121250e+03 
       1.063470609725e-01       5.272189906110e+03 
       1.095563722437e-01       5.078283240751e+03 
       1.127674400721e-01       4.920098383761e+03 
       1.159795805810e-01       4.787993336982e+03 
       1.191923772154e-01       4.671947412785e+03 
       1.224055764572e-01       4.562402847593e+03 
       1.256190240290e-01       4.451151110724e+03 
       1.288326259954e-01       4.331949926139e+03 
       1.320463250920e-01       4.200986824658e+03 
       1.352600863373e-01       4.057032557152e+03 
       1.384738882925e-01       3.901266126177e+03 
       1.416877177545e-01       3.736811046892e+03 
       1.449015665335e-01       3.568106078479e+03 
       1.481154294955e-01       3.400181056176e+03 
       1.513293033745e-01       3.237995661005e+03 
       1.545431860489e-01       3.085875232514e+03 
       1.577570761033e-01       2.947128551051e+03 
       1.609709725598e-01       2.823831555151e+03 
       1.641848747154e-01       2.716762721891e+03 
       1.673987820418e-01       2.625504506969e+03 
       1.706126941245e-01       2.548582488349e+03 
       1.738266106241e-01       2.483728267796e+03 
       1.770405312538e-01       2.428150482005e+03 
       1.802544557635e-01       2.378800378691e+03 
       1.834683839314e-01       2.332847776043e+03 
       1.866823155567e-01       2.287849586658e+03 
       1.898962504565e-01       2.241013852525e+03 
       1.931101884622e-01       2.190700463284e+03 
       1.963241294179e-01       2.136070303217e+03 
       1.995380731784e-01       2.077069954221e+03 
       2.027520196084e-01       2.014379969777e+03 
       2.059659685817e-01       1.949222896718e+03 
       2.091799199797e-01       1.883133197053e+03 
       2.123938736913e-01       1.817718398328e+03 
       2.156078296123e-01       1.754485940305e+03 
       2.188217876444e-01       1.694678232082e+03 
       2.220357476953e-01       1.639223848450e+03 
       2.252497096781e-01       1.588704867364e+03 
       2.284636735104e-01       1.543344746691e+03 
       2.316776391149e-01       1.503050028156e+03 
       2.348916064182e-01       1.467414792857e+03 
       2.381055753512e-01       1.435785193955e+03 
       2.413195458483e-01       1.407312957590e+03 
       2.445335178474e-01       1.381050070770e+03 
       2.477474912897e-01       1.356040652550e+03 
       2.509614661193e-01       1.331423145165e+03 
       2.541754422834e-01       1.306497097304e+03 
       2.573894197316e-01       1.280770651461e+03 
       2.606033984161e-01       1.253977686632e+03 
       2.638173782915e-01       1.226068858055e+03 
       2.670313593145e-01       1.197164796286e+03 
       2.702453414439e-01       1.167572038996e+03 
       2.734593246404e-01       1.137692363462e+03 
       2.766733088668e-01       1.107993727510e+03 
       2.798872940872e-01       1.078974287317e+03 
       2.831012802677e-01       1.051080663791e+03 
       2.863152673758e-01       1.024677317966e+03 
       2.895292553803e-01       1.000001241581e+03 
       2.927432442516e-01       9.771517805503e+02 
       2.959572339613e-01       9.561054686932e+02 
       2.991712244822e-01       9.367192131860e+02 
       3.023852157884e-01       9.187788086089e+02 
       3.055992078549e-01       9.020234465871e+02 
       3.088132006579e-01       8.861698683232e+02 
       3.120271941744e-01       8.709347922004e+02 
       3.152411883827e-01       8.560503957466e+02 
       3.184551832615e-01       8.412841750799e+02 
       3.216691787907e-01       8.264575953471e+02 
       3.248831749509e-01       8.114532878085e+02 
       3.280971717235e-01       7.962286279723e+02 
       3.313111690906e-01       7.808123809892e+02 
       3.345251670349e-01       7.652866619877e+02 
       3.377391655400e-01       7.497805296977e+02 
       3.409531645897e-01       7.344283155212e+02 
       3.441671641690e-01       7.193681509382e+02 
       3.473811642628e-01       7.047271437842e+02 
       3.505951648572e-01       6.906052186675e+02 
       3.538091659382e-01       6.770795467781e+02 
       3.570231674929e-01       6.642014818773e+02 
       3.602371695083e-01       6.519892155277e+02 
       3.634511719723e-01       6.404187177550e+02 
       3.666651748729e-01       6.294419451796e+02 
       3.698791781988e-01       6.189745999773e+02 
       3.730931819390e-01       6.089252135842e+02 
       3.763071860827e-01       5.991906473127e+02 
       3.795211906196e-01       5.896814854447e+02 
       3.827351955399e-01       5.803224451701e+02 
       3.859492008339e-01       5.710612009820e+02 
       3.891632064923e-01       5.618634173171e+02 
       3.923772125060e-01       5.527089744391e+02 
       3.955912188665e-01       5.435987508708e+02 
       3.988052255653e-01       5.345397336539e+02 
       4.020192325943e-01       5.255549872834e+02 
       4.052332399455e-01       5.166752736298e+02 
       4.084472476114e-01       5.079415646462e+02 
       4.116612555844e-01       4.993922574505e+02 
       4.148752638576e-01       4.910630787481e+02 
       4.180892724238e-01       4.829760024110e+02 
       4.213032812765e-01       4.751454489071e+02 
       4.245172904089e-01       4.675723914247e+02 
       4.277312998150e-01       4.602523207355e+02 
       4.309453094883e-01       4.531696961308e+02 
       4.341593194231e-01       4.463121572958e+02 
       4.373733296136e-01       4.396642663740e+02 
       4.405873400540e-01       4.332023451737e+02 
       4.438013507391e-01       4.269046387186e+02 
       4.470153616634e-01       4.207432731595e+02 
       4.502293728218e-01       4.146922636572e+02 
       4.534433842094e-01       4.087327775227e+02 
       4.566573958212e-01       4.028475539385e+02 
       4.598714076526e-01       3.970303202772e+02 
       4.630854196990e-01       3.912799569393e+02 
       4.662994319559e-01       3.856014909928e+02 
       4.695134444190e-01       3.800003264305e+02 
       4.727274570840e-01       3.744797690066e+02 
       4.759414699469e-01       3.690499032466e+02 
       4.791554830036e-01       3.637188488037e+02 
       4.823694962503e-01       3.584958771060e+02 
       4.855835096832e-01       3.533890222393e+02 
       4.887975232986e-01       3.484080415514e+02 
       4.920115370929e-01       3.435553227284e+02 
       4.952255510626e-01       3.388322484379e+02 
       4.984395652043e-01       3.342304414748e+02 
       5.016535795147e-01       3.297423882693e+02 
       5.048675939906e-01       3.253564490829e+02 
       5.080816086288e-01       3.210601157747e+02 
       5.112956234262e-01       3.168483276275e+02 
       5.145096383799e-01       3.127105028292e+02 
       5.177236534869e-01       3.086438292633e+02 
       5.209376687445e-01       3.046385425975e+02 
       5.241516841497e-01       3.006931413596e+02 
       5.273656996999e-01       2.968003267288e+02 
       5.305797153924e-01       2.929614989311e+02 
       5.337937312248e-01       2.891748050828e+02 
       5.370077471944e-01       2.854453073608e+02 
       5.402217632988e-01       2.817756110478e+02 
       5.434357795356e-01       2.781724591085e+02 
       5.466497959025e-01       2.746357907281e+02 
       5.498638123971e-01       2.711663011103e+02 
       5.530778290173e-01       2.677632531828e+02 
       5.562918457608e-01       2.644248904909e+02 
       5.595058626256e-01       2.611498017753e+02 
       5.627198796095e-01       2.579374239937e+02 
       5.659338967105e-01       2.547883410941e+02 
       5.691479139266e-01       2.516997484015e+02 
       5.723619312559e-01       2.486703324126e+02 
       5.755759486965e-01       2.456948066988e+02 
       5.787899662465e-01       2.427696834214e+02 
       5.820039839041e-01       2.398908456335e+02 
       5.852180016675e-01       2.370559552141e+02 
       5.884320195349e-01       2.342640935119e+02 
       5.916460375048e-01       2.315158058691e+02 
       5.948600555754e-01       2.288091636482e+02 
       5.980740737450e-01       2.261444825065e+02 
       6.012880920122e-01       2.235195793755e+02 
       6.045021103752e-01       2.209332980687e+02 
       6.077161288327e-01       2.183847352705e+02 
       6.109301473831e-01       2.158744637838e+02 
       6.141441660250e-01       2.134038297862e+02 
       6.173581847569e-01       2.109730603854e+02 
       6.205722035774e-01       2.085847624834e+02 
       6.237862224851e-01       2.062371496590e+02 
       6.270002414787e-01       2.039305967963e+02 
       6.302142605569e-01       2.016605030413e+02 
       6.334282797184e-01       1.994268435337e+02 
       6.366422989620e-01       1.972283909145e+02 
       6.398563182863e-01       1.950646684676e+02 
       6.430703376902e-01       1.929350685639e+02 
       6.462843571724e-01       1.908395827107e+02 
       6.494983767319e-01       1.887766915218e+02 
       6.527123963675e-01       1.867446811142e+02 
       6.559264160780e-01       1.847413130831e+02 
       6.591404358624e-01       1.827656176395e+02 
       6.623544557195e-01       1.808170457583e+02 
       6.655684756483e-01       1.788960483197e+02 
       6.687824956479e-01       1.770034932247e+02 
       6.719965157171e-01       1.751389872046e+02 
       6.752105358549e-01       1.733020903351e+02 
       6.784245560605e-01       1.714922081882e+02 
       6.816385763328e-01       1.697079822781e+02 
       6.848525966709e-01       1.679488068343e+02 
       6.880666170738e-01       1.662144405750e+02 
       6.912806375407e-01       1.645053302668e+02 
       6.944946580706e-01       1.628221369498e+02 
       6.977086786628e-01       1.611644772125e+02 
       7.009226993163e-01       1.595316103454e+02 
       7.041367200303e-01       1.579226581134e+02 
       7.073507408039e-01       1.563359230473e+02 
       7.105647616364e-01       1.547707062505e+02 
       7.137787825270e-01       1.532267570161e+02 
       7.169928034748e-01       1.517042150281e+02 
       7.202068244792e-01       1.502032218748e+02 
       7.234208455393e-01       1.487231019238e+02 
       7.266348666544e-01       1.472638278996e+02 
       7.298488878238e-01       1.458242491779e+02 
       7.330629090468e-01       1.444035610584e+02 
       7.362769303226e-01       1.430010839107e+02 
       7.394909516506e-01       1.416163989863e+02 
       7.427049730301e-01       1.402505691329e+02 
       7.459189944604e-01       1.389034576179e+02 
       7.491330159409e-01       1.375752460429e+02 
       7.523470374710e-01       1.362652652530e+02 
       7.555610590499e-01       1.349728304404e+02 
       8.259711402243e-01       1.104733787320e+02 
       9.280769293847e-01       8.476523877907e+01 
       1.090633934553e+00       5.844729513993e+01 
