# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   64       2.275787589693e-10       3.426744596306e-14      -4.312072938243e-13       1.841556862304e-16       3.246719980274e-11       3.929764060783e-12      -8.186515589057e-15 
   65       2.306549964023e-10       3.585012929693e-14      -4.810534720559e-13       1.899688914228e-16       3.132326187946e-11       3.810746310072e-12      -8.459711064019e-15 
   66       2.337641655542e-10       3.746773825022e-14      -5.326356969332e-13       1.958712916075e-16       3.023408647020e-11       3.696916025055e-12      -8.672990439328e-15 
   67       2.369053767639e-10       3.911929593883e-14      -5.859563772619e-13       2.018631227579e-16       2.919343981019e-11       3.587487697797e-12      -8.836407788400e-15 
   68       2.400776088028e-10       4.080382363115e-14      -6.410146849833e-13       2.079446533402e-16       2.819505260872e-11       3.481698787389e-12      -8.960630221172e-15 
   69       2.432819254976e-10       4.252064283285e-14      -6.977961866805e-13       2.141161544352e-16       2.723819419674e-11       3.379526427514e-12      -9.053406692932e-15 
   70       2.465196246002e-10       4.426913069764e-14      -7.562812279681e-13       2.203779268539e-16       2.632308438604e-11       3.281100049382e-12      -9.122506033625e-15 
   71       2.497915483622e-10       4.604863156192e-14      -8.164479622718e-13       2.267303119762e-16       2.544920756168e-11       3.186486436317e-12      -9.176807441798e-15 
   72       2.530980537192e-10       4.785845712596e-14      -8.782723387128e-13       2.331736933479e-16       2.461527465271e-11       3.095686243764e-12      -9.226341954249e-15 
   73       2.564389824765e-10       4.969788663509e-14      -9.417280899915e-13       2.397084982771e-16       2.381918510288e-11       3.008630519313e-12      -9.282333915659e-15 
   74       2.598136314942e-10       5.156616706099e-14      -1.006786720272e-12       2.463351994316e-16       2.305798884135e-11       2.925177222701e-12      -9.357242448242e-15 
   75       2.632207228725e-10       5.346251328282e-14      -1.073417493065e-12       2.530543164351e-16       2.232784825338e-11       2.845107745835e-12      -9.464802921379e-15 
   76       2.666589812251e-10       5.538596992338e-14      -1.141584975798e-12       2.598663226069e-16       2.162499133755e-11       2.768187422997e-12      -9.615949951698e-15 
   77       2.701290529382e-10       5.733496736975e-14      -1.211241183372e-12       2.667713420162e-16       2.094885590684e-11       2.694367493068e-12      -9.805636417802e-15 
   78       2.736318843563e-10       5.930768474395e-14      -1.282331973273e-12       2.737693998283e-16       2.029945232006e-11       2.623613814766e-12      -1.002367500406e-14 
   79       2.771681286574e-10       6.130217845285e-14      -1.354799300583e-12       2.808605119189e-16       1.967640574259e-11       2.555844010927e-12      -1.025860114831e-14 
   80       2.807381284868e-10       6.331637953259e-14      -1.428581155760e-12       2.880446845255e-16       1.907893844220e-11       2.490925300694e-12      -1.049763005900e-14 
   81       2.843418985916e-10       6.534809099280e-14      -1.503611502418e-12       2.953219138990e-16       1.850585208482e-11       2.428672331699e-12      -1.072661373220e-14 
   82       2.879791084540e-10       6.739498516102e-14      -1.579820215111e-12       3.026921859557e-16       1.795551003032e-11       2.368845012245e-12      -1.092999796874e-14 
   83       2.916490649260e-10       6.945460102702e-14      -1.657133017114e-12       3.101554759288e-16       1.742581962831e-11       2.311146343496e-12      -1.109077939129e-14 
   84       2.953510498661e-10       7.152457854547e-14      -1.735479967577e-12       3.177117616448e-16       1.691474117843e-11       2.255292364026e-12      -1.119418278935e-14 
   85       2.990854354022e-10       7.360341199043e-14      -1.814822675862e-12       3.253610666456e-16       1.642195053662e-11       2.201240054813e-12      -1.123948775402e-14 
   86       3.028527225757e-10       7.568981720274e-14      -1.895131505668e-12       3.331034236098e-16       1.594742095550e-11       2.148993417151e-12      -1.123009295755e-14 
   87       3.066531915457e-10       7.778250704307e-14      -1.976377507061e-12       3.409388612459e-16       1.549091220378e-11       2.098533777757e-12      -1.116998940115e-14 
   88       3.104868901889e-10       7.988019271877e-14      -2.058532497937e-12       3.488674041728e-16       1.505196171365e-11       2.049818832936e-12      -1.106377995865e-14 
   89       3.143536227010e-10       8.198158511064e-14      -2.141569145495e-12       3.568890728007e-16       1.462987572799e-11       2.002781692729e-12      -1.091669892003e-14 
   90       3.182529381962e-10       8.408539609983e-14      -2.225461047706e-12       3.650038832115e-16       1.422372044772e-11       1.957329925077e-12      -1.073463153509e-14 
   91       3.221841193085e-10       8.619033989462e-14      -2.310182814778e-12       3.732118470396e-16       1.383231317906e-11       1.913344599971e-12      -1.052413355703e-14 
   92       3.261461707914e-10       8.829513435724e-14      -2.395710150628e-12       3.815129713526e-16       1.345421348084e-11       1.870679333616e-12      -1.029245078607e-14 
   93       3.301381278286e-10       9.039839911120e-14      -2.482012004761e-12       3.899073714228e-16       1.308806519087e-11       1.829197228290e-12      -1.004651725543e-14 
   94       3.341600587660e-10       9.249832945120e-14      -2.569025500748e-12       3.983956287030e-16       1.273370057690e-11       1.788890123310e-12      -9.789734984685e-15 
   95       3.382121928157e-10       9.459297561417e-14      -2.656677370071e-12       4.069784867205e-16       1.239118665497e-11       1.749775595616e-12      -9.524743781704e-15 
   96       3.422946068669e-10       9.668034154010e-14      -2.744891518717e-12       4.156567443938e-16       1.206048512484e-11       1.711860232323e-12      -9.254404895452e-15 
   97       3.464072184749e-10       9.875838478198e-14      -2.833588999798e-12       4.244312574636e-16       1.174144833373e-11       1.675139195070e-12      -8.981806539608e-15 
   98       3.505497788503e-10       1.008250164157e-13      -2.922687986174e-12       4.333029399225e-16       1.143381524008e-11       1.639595784359e-12      -8.710269416159e-15 
   99       3.547218658482e-10       1.028781009501e-13      -3.012103743068e-12       4.422727654459e-16       1.113720737732e-11       1.605201003906e-12      -8.443352239001e-15 
  100       3.589228769569e-10       1.049154562368e-13      -3.101748600696e-12       4.513417688218e-16       1.085112481759e-11       1.571913124982e-12      -8.184857257530e-15 
  101       3.631520222872e-10       1.069348533803e-13      -3.191531926876e-12       4.605110473813e-16       1.057494213550e-11       1.539677250759e-12      -7.938835780251e-15 
  102       3.674083175615e-10       1.089340166477e-13      -3.281360099658e-12       4.697817624289e-16       1.030790437191e-11       1.508424880657e-12      -7.709593698366e-15 
  103       3.716905771028e-10       1.109106233788e-13      -3.371136479941e-12       4.791551406728e-16       1.004912299766e-11       1.478073474688e-12      -7.501697009379e-15 
  104       3.759976544880e-10       1.128624118883e-13      -3.460767565363e-12       4.886323501329e-16       9.797777508373e-12       1.448545653234e-12      -7.318917182130e-15 
  105       3.803292166322e-10       1.147875219656e-13      -3.550182457700e-12       4.982141056943e-16       9.553759916965e-12       1.419830688538e-12      -7.160893103408e-15 
  106       3.846850616884e-10       1.166842004177e-13      -3.639315986432e-12       5.079010126883e-16       9.317110203259e-12       1.391930546305e-12      -7.026026407376e-15 
  107       3.890648764833e-10       1.185506982682e-13      -3.728102802359e-12       5.176936877065e-16       9.087816702273e-12       1.364840774800e-12      -6.912495314804e-15 
  108       3.934682322278e-10       1.203852718535e-13      -3.816477418149e-12       5.275927586522e-16       8.865814327652e-12       1.338550284977e-12      -6.818248506578e-15 
  109       3.978945802281e-10       1.221861839198e-13      -3.904374248888e-12       5.375988647909e-16       8.650982795111e-12       1.313041130587e-12      -6.740998997204e-15 
  110       4.023432475957e-10       1.239517047198e-13      -3.991727652622e-12       5.477126568014e-16       8.443144845861e-12       1.288288288307e-12      -6.678218008308e-15 
  111       4.068134329586e-10       1.256801131092e-13      -4.078471970905e-12       5.579347968268e-16       8.242064470047e-12       1.264259437853e-12      -6.627128842145e-15 
  112       4.113042021718e-10       1.273696976435e-13      -4.164541569347e-12       5.682659585253e-16       8.047445130185e-12       1.240914742101e-12      -6.584700755100e-15 
  113       4.158144840277e-10       1.290187576747e-13      -4.249870878161e-12       5.787068271212e-16       7.858927984597e-12       1.218206627207e-12      -6.547642831193e-15 
  114       4.203430659671e-10       1.306256044477e-13      -4.334394432707e-12       5.892580994559e-16       7.676090110843e-12       1.196079562724e-12      -6.512397855583e-15 
  115       4.248885897897e-10       1.321885621975e-13      -4.418046914041e-12       5.999204840386e-16       7.498442729158e-12       1.174469841722e-12      -6.475136188073e-15 
  116       4.294497406014e-10       1.337059978572e-13      -4.500761875116e-12       6.106946997792e-16       7.325538470835e-12       1.153319972277e-12      -6.432521662365e-15 
  117       4.340258488884e-10       1.351764119371e-13      -4.582467657019e-12       6.215814719015e-16       7.157311777192e-12       1.132624307052e-12      -6.384128023137e-15 
  118       4.386163539298e-10       1.365983608058e-13      -4.663091050055e-12       6.325815356265e-16       6.993776743216e-12       1.112388574331e-12      -6.330306145050e-15 
  119       4.432206145582e-10       1.379704304021e-13      -4.742558592277e-12       6.436956374848e-16       6.834920972163e-12       1.092615673340e-12      -6.271438986820e-15 
  120       4.478379065791e-10       1.392912375843e-13      -4.820796598406e-12       6.549245353562e-16       6.680704763137e-12       1.073305583558e-12      -6.207942290769e-15 
  121       4.524674201896e-10       1.405594314801e-13      -4.897731188766e-12       6.662689985089e-16       6.531060298674e-12       1.054455274023e-12      -6.140265282375e-15 
  122       4.571082573980e-10       1.417736948365e-13      -4.973288318199e-12       6.777298076387e-16       6.385890832320e-12       1.036058612644e-12      -6.068891369819e-15 
  123       4.617594294430e-10       1.429327453688e-13      -5.047393804998e-12       6.893077549082e-16       6.245069876216e-12       1.018106275508e-12      -5.994338843538e-15 
  124       4.664198542125e-10       1.440353371109e-13      -5.119973359830e-12       7.010036439864e-16       6.108440388675e-12       1.000585656188e-12      -5.917161575771e-15 
  125       4.710883536635e-10       1.450802617644e-13      -5.190952614663e-12       7.128182900877e-16       5.975813961767e-12       9.834807750566e-13      -5.837949720114e-15 
  126       4.757636512405e-10       1.460663500489e-13      -5.260257151687e-12       7.247525200111e-16       5.846970008900e-12       9.667721885881e-13      -5.757330411062e-15 
