# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 10.5321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.513374895635e-02       2.368823816608e+04 
       2.526985209934e-02       2.362258261925e+04 
       2.540610212177e-02       2.355645737008e+04 
       2.554250221222e-02       2.348983090780e+04 
       2.567905563821e-02       2.342269807145e+04 
       2.581576574833e-02       2.335514249786e+04 
       2.595263597449e-02       2.328710753702e+04 
       2.608966983422e-02       2.321869002585e+04 
       2.622687093308e-02       2.314983893547e+04 
       2.636424296713e-02       2.308059037263e+04 
       2.650178972545e-02       2.301091445936e+04 
       2.663951509286e-02       2.294087345287e+04 
       2.677742305259e-02       2.287045606647e+04 
       2.691551768916e-02       2.279971021429e+04 
       2.705380319129e-02       2.272857729598e+04 
       2.719228385497e-02       2.265712425575e+04 
       2.733096408661e-02       2.258530519785e+04 
       2.746984840627e-02       2.251323499713e+04 
       2.760894145110e-02       2.244080569877e+04 
       2.774824797880e-02       2.236816690837e+04 
       2.788777287131e-02       2.229511825776e+04 
       2.802752113853e-02       2.222187139959e+04 
       2.816749792229e-02       2.214835061399e+04 
       2.830770850039e-02       2.207455563048e+04 
       2.844815829080e-02       2.200052821669e+04 
       2.858885285609e-02       2.192624013948e+04 
       2.872979790796e-02       2.185180175812e+04 
       2.887099931194e-02       2.177707409355e+04 
       2.901246309235e-02       2.170207204906e+04 
       2.915419543739e-02       2.162696139512e+04 
       2.929620270443e-02       2.155167294443e+04 
       2.943849142560e-02       2.147619477941e+04 
       2.958106831346e-02       2.140051421285e+04 
       2.972394026703e-02       2.132468698912e+04 
       2.986711437803e-02       2.124865868188e+04 
       3.001059793733e-02       2.117252525093e+04 
       3.015439844177e-02       2.109626960406e+04 
       3.029852360114e-02       2.101979099983e+04 
       3.044298134556e-02       2.094324413662e+04 
       3.058777983316e-02       2.086659424967e+04 
       3.073292745804e-02       2.078977907201e+04 
       3.087843285864e-02       2.071289206308e+04 
       3.102430492642e-02       2.063585681346e+04 
       3.117055281498e-02       2.055882232731e+04 
