# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 10.5313 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.097175452225e-02       2.602932308801e+04 
       2.110453010289e-02       2.598794656328e+04 
       2.123738371700e-02       2.594467007411e+04 
       2.137031688034e-02       2.590011429448e+04 
       2.150333114567e-02       2.585490625069e+04 
       2.163642810358e-02       2.580939033796e+04 
       2.176960938335e-02       2.576283491591e+04 
       2.190287665378e-02       2.571434033188e+04 
       2.203623162411e-02       2.566637479565e+04 
       2.216967604494e-02       2.561670763810e+04 
       2.230321170918e-02       2.556604270233e+04 
       2.243684045303e-02       2.551466039831e+04 
       2.257056415701e-02       2.546274594603e+04 
       2.270438474697e-02       2.540949627496e+04 
       2.283830419520e-02       2.535578242984e+04 
       2.297232452153e-02       2.530103093942e+04 
       2.310644779445e-02       2.524596143240e+04 
       2.324067613235e-02       2.518996114268e+04 
       2.337501170467e-02       2.513358237981e+04 
       2.350945673322e-02       2.507593705721e+04 
       2.364401349341e-02       2.501758877799e+04 
       2.377868431567e-02       2.495889732460e+04 
       2.391347158673e-02       2.489903292802e+04 
       2.404837775113e-02       2.483894151546e+04 
       2.418340531265e-02       2.477836551696e+04 
       2.431855683582e-02       2.471649797827e+04 
       2.445383494751e-02       2.465433915813e+04 
       2.458924233850e-02       2.459188122936e+04 
       2.472478176520e-02       2.452891508821e+04 
       2.486045605135e-02       2.446465703190e+04 
       2.499626808978e-02       2.440095305261e+04 
       2.513222084427e-02       2.433582537544e+04 
       2.526831735142e-02       2.426987992185e+04 
       2.540456072264e-02       2.420386840923e+04 
       2.554095414615e-02       2.413741162081e+04 
       2.567750088908e-02       2.407067752258e+04 
       2.581420429964e-02       2.400319192184e+04 
       2.595106780935e-02       2.393566331829e+04 
       2.608809493532e-02       2.386701141726e+04 
       2.622528928270e-02       2.379864617502e+04 
       2.636265454711e-02       2.372883207300e+04 
       2.650019451721e-02       2.365913843607e+04 
       2.663791307734e-02       2.358951213562e+04 
       2.677581421029e-02       2.351888118991e+04 
       2.691390200008e-02       2.344815049468e+04 
       2.705218063495e-02       2.337718460562e+04 
       2.719065441039e-02       2.330538479050e+04 
       2.732932773227e-02       2.323365391370e+04 
       2.746820512015e-02       2.316153088403e+04 
       2.760729121060e-02       2.308877279342e+04 
       2.774659076078e-02       2.301607882758e+04 
       2.788610865204e-02       2.294305793123e+04 
       2.802584989368e-02       2.286943825682e+04 
       2.816581962692e-02       2.279569107132e+04 
       2.830602312891e-02       2.272153639143e+04 
       2.844646581701e-02       2.264749989433e+04 
       2.858715325310e-02       2.257260374208e+04 
       2.872809114817e-02       2.249797515084e+04 
       2.886928536707e-02       2.242300862294e+04 
       2.901074193338e-02       2.234759743793e+04 
       2.915246703454e-02       2.227236836367e+04 
       2.929446702717e-02       2.219679505265e+04 
       2.943674844256e-02       2.212113431210e+04 
       2.957931799247e-02       2.204498496765e+04 
       2.972218257507e-02       2.196856509917e+04 
       2.986534928119e-02       2.189219627191e+04 
       3.000882540082e-02       2.181535493511e+04 
       3.015261842983e-02       2.173899271750e+04 
       3.029673607708e-02       2.166229988757e+04 
       3.044118627168e-02       2.158504732946e+04 
       3.058597717074e-02       2.150809507577e+04 
       3.073111716730e-02       2.143082503699e+04 
       3.087661489868e-02       2.135360307024e+04 
       3.102247925524e-02       2.127586105853e+04 
       3.116871938940e-02       2.119833280399e+04 
       3.131534472521e-02       2.112078892925e+04 
       3.146236496823e-02       2.104290312878e+04 
       3.160979011596e-02       2.096519246925e+04 
       3.175763046869e-02       2.088719886702e+04 
       3.190589664088e-02       2.080933230672e+04 
       3.205459957305e-02       2.073116122650e+04 
       3.220375054425e-02       2.065313735704e+04 
       3.235336118517e-02       2.057488263279e+04 
       3.250344349177e-02       2.049653133205e+04 
       3.265400983972e-02       2.041836432669e+04 
       3.280507299941e-02       2.034027725645e+04 
       3.295664615181e-02       2.026174044928e+04 
       3.310874290508e-02       2.018342668478e+04 
       3.326137731205e-02       2.010506815474e+04 
       3.341456388853e-02       2.002669802066e+04 
       3.356831763269e-02       1.994822122617e+04 
       3.372265404530e-02       1.986982614803e+04 
       3.387758915118e-02       1.979144129791e+04 
       3.403313952173e-02       1.971290410744e+04 
       3.418932229865e-02       1.963458319871e+04 
       3.434615521902e-02       1.955622080713e+04 
       3.450365664172e-02       1.947770881982e+04 
       3.466184557532e-02       1.939941182934e+04 
       3.482074170761e-02       1.932099349117e+04 
       3.498036543668e-02       1.924260311452e+04 
       3.514073790396e-02       1.916412898773e+04 
       3.530188102904e-02       1.908599411168e+04 
       3.546381754664e-02       1.900760402372e+04 
       3.562657104572e-02       1.892932511076e+04 
       3.579016601103e-02       1.885112745171e+04 
       3.595462786711e-02       1.877288763810e+04 
       3.611998302509e-02       1.869477882843e+04 
       3.628625893235e-02       1.861666547357e+04 
       3.645348412541e-02       1.853854581563e+04 
       3.662168828611e-02       1.846042182888e+04 
       3.679090230153e-02       1.838240658930e+04 
       3.696115832784e-02       1.830432048322e+04 
       3.713248985833e-02       1.822647867311e+04 
       3.730493179611e-02       1.814858691768e+04 
       3.747852053181e-02       1.807065709792e+04 
       3.765329402654e-02       1.799281858270e+04 
       3.782929190080e-02       1.791504832039e+04 
       3.800655552969e-02       1.783722643412e+04 
       3.818512814495e-02       1.775943730838e+04 
       3.836505494454e-02       1.768185699438e+04 
       3.854638321032e-02       1.760413247411e+04 
       3.872916243459e-02       1.752663008278e+04 
       3.891344445634e-02       1.744888101674e+04 
       3.909928360803e-02       1.737138323299e+04 
       3.928673687394e-02       1.729382611249e+04 
       3.947586406121e-02       1.721620944760e+04 
