# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   58       1.612038858053e+03       2.025093561724e-01       0.000000000000e+00      -1.488917900178e+00       1.363562674181e-07       7.960827660989e-04      -1.488954034283e-06 
   59       1.635262106518e+03       2.132943343512e-01       0.000000000000e+00      -1.808315494432e+00       1.357684925692e-07       7.820891298583e-04      -1.493269534528e-06 
   60       1.658748824789e+03       2.243838964992e-01       0.000000000000e+00      -2.142055141639e+00       1.351699812159e-07       7.685812198799e-04      -1.510943657204e-06 
   61       1.682477280158e+03       2.357744796987e-01       0.000000000000e+00      -2.489854198915e+00       1.345397100127e-07       7.554832438410e-04      -1.554948756776e-06 
   62       1.706455237919e+03       2.474628261844e-01       0.000000000000e+00      -2.851619422096e+00       1.338874528203e-07       7.428306162388e-04      -1.625274282721e-06 
   63       1.730694781788e+03       2.594454080845e-01       0.000000000000e+00      -3.227298575748e+00       1.332287343289e-07       7.306673932377e-04      -1.717377645146e-06 
   64       1.755202867311e+03       2.717182110991e-01       0.000000000000e+00      -3.616826222654e+00       1.325739806573e-07       7.190042513612e-04      -1.825357367201e-06 
   65       1.779980951999e+03       2.842767252578e-01       0.000000000000e+00      -4.020123847611e+00       1.319272559398e-07       7.078141641810e-04      -1.941833085382e-06 
   66       1.805024625464e+03       2.971159356777e-01       0.000000000000e+00      -4.437099981226e+00       1.312848926419e-07       6.970279121362e-04      -2.057821623188e-06 
   67       1.830323239550e+03       3.102303133204e-01       0.000000000000e+00      -4.867650323717e+00       1.306340122160e-07       6.865294254821e-04      -2.162609138154e-06 
   68       1.855865644211e+03       3.236135372015e-01       0.000000000000e+00      -5.311654109510e+00       1.299589158316e-07       6.761962003969e-04      -2.246056892230e-06 
   69       1.881659571498e+03       3.372576163127e-01       0.000000000000e+00      -5.768962068939e+00       1.292671369164e-07       6.660461121790e-04      -2.306644802438e-06 
   70       1.907715532886e+03       3.511535723569e-01       0.000000000000e+00      -6.239406238455e+00       1.285709017039e-07       6.561262691741e-04      -2.345621111939e-06 
   71       1.934040851171e+03       3.652916767330e-01       0.000000000000e+00      -6.722803531164e+00       1.278793843674e-07       6.464698690183e-04      -2.364821116290e-06 
   72       1.960639446763e+03       3.796614344253e-01       0.000000000000e+00      -7.218955764472e+00       1.271980004959e-07       6.370943811274e-04      -2.366717627991e-06 
   73       1.987511623981e+03       3.942515678929e-01       0.000000000000e+00      -7.727649687748e+00       1.265276465767e-07       6.279996636640e-04      -2.354472975107e-06 
   74       2.014653857340e+03       4.090500009590e-01       0.000000000000e+00      -8.248657009976e+00       1.258638839261e-07       6.191660149844e-04      -2.331992533968e-06 
   75       2.042058577845e+03       4.240438427005e-01       0.000000000000e+00      -8.781734427406e+00       1.251960655096e-07       6.105521595620e-04      -2.303979795940e-06 
   76       2.069718042404e+03       4.392202853207e-01       0.000000000000e+00      -9.326616453935e+00       1.245120538533e-07       6.021129334976e-04      -2.275016499506e-06 
   77       2.097637229102e+03       4.545695224069e-01       0.000000000000e+00      -9.882992341696e+00       1.238165883916e-07       5.938627172169e-04      -2.246380980479e-06 
   78       2.125822916104e+03       4.700823360340e-01       0.000000000000e+00      -1.045052498252e+01       1.231178211455e-07       5.858254782005e-04      -2.218466699676e-06 
   79       2.154279679261e+03       4.857492325795e-01       0.000000000000e+00      -1.102885761384e+01       1.224218498470e-07       5.780154875219e-04      -2.191683669000e-06 
   80       2.183009762134e+03       5.015604453552e-01       0.000000000000e+00      -1.161761369879e+01       1.217323053790e-07       5.704362576662e-04      -2.166457976468e-06 
   81       2.212012946009e+03       5.175059372380e-01       0.000000000000e+00      -1.221639680626e+01       1.210499111242e-07       5.630794466169e-04      -2.143231274839e-06 
   82       2.241286419917e+03       5.335754033016e-01       0.000000000000e+00      -1.282479049095e+01       1.203720134987e-07       5.559237282092e-04      -2.122460233820e-06 
   83       2.270824650655e+03       5.497582734482e-01       0.000000000000e+00      -1.344235817345e+01       1.196920829427e-07       5.489336287507e-04      -2.104615955865e-06 
   84       2.300621736406e+03       5.660433421180e-01       0.000000000000e+00      -1.406865756740e+01       1.190028536889e-07       5.420723913818e-04      -2.090087051706e-06 
